title,author,poem_text,url_to_poem,publication_date,your_initials,Theme
The Nude,Yi Lei,"""My eye laps at you in lamplight
Like a white hot tongue. Longing

Draws back, then rises, tidal.

The curtain of my hair
Announces my breasts. Your lips:

A languid breeze. Like a miracle
We feast and feast and nothing is spent.

Let flesh attend to flesh, sex to sex.
O, dexterous gold watch of the universe

On which one minute can straddle
A hundred years.'""",https://www.poets.org/poetsorg/poem/nude,2018,IJ,Sex
Crush Hour,Eric McHenry,"""Then there's crush hour, which comes and goes
on quieter tires. Again the traffic slows
as residential streets congest with Fords
the same age as their drivers, rolling towards
houses they will pointedly roll by.
Their low beams are embarrassing the sky.
The orangina sun has ducked behind
a middle school, and will come out to blind
only the girl so perfectly obsessed
she can't wait ten more minutes to go west.
And there she goes. Dissolve to white.
This is the last crush hour. Tomorrow night
they'll all be upstairs, screen-lit in their beds,
pursuing crushes into comment threads,
while outside in the heat, the straggling traffic
dwindles to a single demographic:
their fathers, who could drive these streets asleep,
who do, who all have rendezvous to keep
with houses they don't live in anymore,
who roll by in the low gears, watching for
the bedroom light that isn't coming on,
the mother-shape descending to the lawn
to call the child home who isn't gone.'""",https://www.poets.org/poetsorg/poem/crush-hour,2018,IJ,Nostalgia
My Voice,Oscar Wilde,"""Within the restless, hurried, modern world
    We took our hearts' full pleasure-You and I,
And now the white sails of our ships are furled,
    And spent the lading of our argosy.

Wherefore my cheeks before their time are wan,
    For very weeping is my gladness fled,
Sorrow hath paled my lip's vermilion
    And Ruin draws the curtains of my bed.

But all this crowded life has been to thee
    No more than lyre, or lute, or subtle spell
Of viols, or the music of the sea
    That sleeps, a mimic echo, in the shell.'""",https://www.poets.org/poetsorg/poem/my-voice,1881,IJ,Old Age
	For It Felt Like Power,Carl Phillips,"""They'd only done what all along they'd come
intending to do. So they lay untouched by regret,
after. The combined light and shadow of passing
cars stutter-shifted across the walls the way,
in summer,
                the night moths used to, softly
sandbagging the river of dream against dream's
returnŠ—_Listen, it's not like I don't get it about
suffering being relative-I get it. Not so much
the traces of ice on the surface of four days'
worth of rainwater in a stone urn, for example,
but how, past the ice,
                                  through the water beneath it,
you can see the leaves-sycamore-where they fell
unnoticed. Now they look suspended, like heroes
inside the myth heroes seem bent on making
from the myth of themselves; or like sunlight, in fog.'""",https://www.poets.org/poetsorg/poem/it-felt-power,2017,IJ,Patience
Of the Threads that Connect the Stars,Mart’_n Espada,"""Did you ever see stars?  asked my father with a cackle. He was not
speaking of the heavens, but the white flash in his head when a fist burst
between his eyes. In Brooklyn, this would cause men and boys to slap
the table with glee; this might be the only heavenly light we'd ever see.

I never saw stars. The sky in Brooklyn was a tide of smoke rolling over us
from the factory across the avenue, the mattresses burning in the junkyard,
the ruins where squatters would sleep, the riots of 1966 that kept me
locked in my room like a suspect. My father talked truce on the streets.

My son can see the stars through the tall barrel of a telescope.
He names the galaxies with the numbers and letters of astronomy.
I cannot see what he sees in the telescope, no matter how many eyes I shut.
I understand a smoking mattress better than the language of galaxies.

My father saw stars. My son sees stars. The earth rolls beneath
our feet. We lurch ahead, and one day we have walked this far.'""",https://www.poets.org/poetsorg/poem/threads-connect-stars,2016,IJ,Science
We are all Odysseus in Those Days,Amorak Huey,"""""A young man learns to shoot
& dies in the mud
an ocean away from home,
a rifle in his fingers
& the sky dripping
from his heart. Next to him
a friend watches
his final breath slip
ragged into the ditch,
a thing the friend will carry
back to America-
wound, souvenir,
backstory. He'll teach
literature to young people
for 40 years. He'll coach
his daughters' softball teams.
Root for Red Wings
& Lions & Tigers. Dance
well. Love generously.
He'll be quick with a joke
& firm with handshakes.
He'll rarely talk
about the war. If asked
he'll tell you instead
his favorite story:
Odysseus escaping
from the Cyclops
with a bad pun & good wine
& a sharp stick.
It's about buying time
& making do, he'll say.
It's about doing what it takes
to get home, & you see
he has been talking
about the war all along.
We all want the same thing
from this world:
Call me nobody. Let me live.""""",https://www.poets.org/poetsorg/poem/war-budgethttps://www.poets.org/poetsorg/poem/war-budget,2019,SCT,War
Theories of Time and space,Natasha Trethewey,"""""You can get there from here, though
there's no going home.

Everywhere you go will be somewhere
you've never been. Try this:

head south on Mississippi 49, one-
by-one mile markers ticking off

another minute of your life. Follow this
to its natural conclusion-dead end

at the coast, the pier at Gulfport where
riggings of shrimp boats are loose stitches

in a sky threatening rain. Cross over
the man-made beach, 26 miles of sand

dumped on a mangrove swamp-buried
terrain of the past. Bring only

what you must carry-tome of memory
its random blank pages. On the dock

where you board the boat for Ship Island,
someone will take your picture:

the photograph-who you were-
will be waiting when you return""""",https://www.poets.org/poetsorg/poem/theories-time-and-space,1996,SCT,Life is always changing
On Anger,Rage Hezeklah,"""""My white therapist calls it my edge, I hear
Angry Black Woman. She says, Strength
of Willful Negative Focus. She says, Acerbic
Intellectual Temperament. I copy her words
onto an index card. She wants
an origin story, a stranger with his hand
inside me, or worse. I'm without
linear narrative and cannot sate her. We
perform rituals on her living room floor. I burn
letters brimming with resentments, watch
the paper ember in the fireplace, admit
I don't want to let this go. What if anger,
my armor, is embedded in the marrow
of who I am. Who can I learn to be
without it? Wherever you go,
there you are. She asks what I will lose
if I surrender, I imagine a gutted fish,
silvery skin gleaming, emptied of itself-""""",https://www.poets.org/poetsorg/poem/anger,2019,SCT,Anger isn't always bad
Cult of the Deer Goddess,Caylin Capra-Thomas,"""""Darling deer, beasts of our love, we are gigantic. Wild,
we wield no pitchfork, no distaff, no broom. Women
are supernatural, but we are more than that-witnesses
to great convulsions of nature. The hunters want to make
us less. Drag us through the fire by our heels to murder
what is witch in us, make fossils of our priestesses. Men
are small and call this power, but it's just weal or woe.
In the vales and shadows our bodies make, they wed
our girls turned doe, turned woman, then doe, then woman
and we are not these certain shapes but the swift motion
of their shifting. And we are craggy hag's head cliffs, mist
hanging grey at our chins, the saltwater below and all it must
bear, and what we cannot: men, marriage, massacre."" """,https://www.poets.org/poetsorg/poem/cult-deer-goddess,2018,SCT,Male Violence
God's Will,Nick Flynn,"""""Isn't there a bird (what's its name?)
that collects blue

things-bottle cap, rubber band,
bits of broken

cups-to make an elaborate, sparkling
blue nest on the ground. At

a meeting, a woman spoke of
her brother, who'd just

OD'd-teary,

she said she knew it was God's
will. We all want to be held

a little higher. Bower

bird, that's the name, it gathers
all that blue

& arranges it into a nest
to make the beloved, of course,

want to stay.""""",https://www.poets.org/poetsorg/poem/gods-will,1960,SCT,The nature of death
Prelude and Fugue,Angela Narclso Torres,"""""Something of late November
   sifting through a window
brings back this prelude-

   two voices blend, I lean
into the keys, draw back
   when the voices part.

How the body remembers-
    Se’±ora V in a floral sundress,
rose talcum hand soft

   on the curve of my spine
imprinting what she knew
   of love and time. How could I know

what those notes would mean
   decades of preludes ahead.""""",https://www.poets.org/poetsorg/poem/prelude-and-fugue,2019,SCT,Love
I'm a good person because my childhood was,Jan-Henry Gray,"""""junk yard, Goodwill, crushed cans, buy-1-get-1-free, re-runs, dead leaves in the pool, no lifeguard, landlord no English, bounced check, smog check, two-no, need three jobs, back entrance, under the table, no ride after school, loud dogs, mean neighbors, no neighbors, someone died there, FOR RENT sign, up for months, rusted carts, bruised fruit, free bones, just ask, beef tongue, chicken broth, chicken hearts, clouded eye of fish on ice, fry it extra crispy, the house smells like patis and windex and roses from the rosewater bath to heal the kidney, traffic, church is packed, late for church, not going to church, news of a shooting, news of a robbery, news of the boy raped at prom, pictures of the teens in court, animals!, those crying parents, his crying parents, Rodney King, Reginald Denny, everyone's yelling on Ricki or Jerry or Maury or Montel and Oprah is on the cover of her own magazine, dentist office, insurance voucher, no social, permanent address, temporary address, magazines with the address torn off, it's your first time, the handsome dentist says, he touches you and you feel special and rich and white and American and healthy and taken care of, T.C.C.I.C., keep in touch, have a nice summer, we'll be friendz 4 forever, never change""""",https://www.poets.org/poetsorg/poem/im-good-person-because-my-childhood-was,2019,SCT,seperation from the real world
D(r)ones,Richard Hoffman,"""""What was done was done
in our names; we ourselves

would never have done
what was done to anyone.

We wanted to be good,
polite, obedient, fun,

wanted only not to ever
ask What have we done?

And yet, in our names,
what was done was done.""""",https://www.poets.org/poetsorg/poem/drone-0,2018,SCT,regrets
Meditation on Rain,Alessandra Lynch,"""""In a blue collusion of dusk
and rain, the sky's darkly shaking
like horsetails flicking

                off bloodflies. As you'd try
switching off half-truths that fed
on your skin, their little bites
                distracting you
from harder pain.

                Nothing a hoof could gallop from. Nothing to ride here
but air
                coolly passing from stable to woods-
each leaf a perforated heart-

to the front porch of the blue house. As you ascend,
                the steps darken behind you, night
has its own quiet stepping-it is not
                an abyss, not amorphous
as once you felt-.

How wavery the rain at the threshhold-""""",https://www.poets.org/poetsorg/poem/meditation-rain,2018,SCT,Meditation
The War Budget,Jessie Pope,"""Hodge waded through the weekly news,
    ""The Income Tax,"" he said,
""That's nowt to me, I shallunt lose,
    'Twill hit the boss instead. 
Lloyd Garge he be the man for I,
    Us poor have nowt to bear.""
He paused-then gave a dismal cry:
    ""They're goin' to tax my beer!""

""A good thing too!"" replied his wife.
    ""'Twill keep you from the pub,
Swilling each evening of your life,
    While I work at the tub!""
Across the inglenook she reached,
    The welcome news to see,
Then, in resentful clamour, screeched:
    ""3d. a pound on tea!""

                                    MORAL

To foot the bill it's only fair 
    That everyone should do their share,
And since we all are served the same,
    Pay and look pleasant-that's the game.'""",https://www.poets.org/poetsorg/poem/war-budget,1968,SCT,War Portest
Little Song,"Mark Wagenaar
","""It's only when the stars
are lined above a burning
cathedral, charnel house

or theater, when the air
is filled with riffling ashes
that hallow a space where tragedy

& comedy are indistinguishable
that these seeds, too small to see,
take to the wind-

& when they find a soil
rich with the bones of dictators
& clowns, they root, & thrive

if fed the vowels of gallows
confessions: soon you'll see
buttons mushroom like tiny

nipples on one side, black
& white keys start to show
like chicken bones on the other,

& the bellows concertina
as they breathe. And if you
were born beneath a bad sign,

or boast a lineage of hucksters
& carnival barkers, if no one
you know has been touched

by luck or grace, if you've drifted
through your life for years
an accordion may choose you

to bear it, & if you pick it up
after much has come to naught
a music of motion & full

of shadows will begin, a music
for when the president's statue
is pulled down by a rope,

for when the people waltz
though the town square, or when
the cinema catches fire,

& film strips blizzard the air,
alive with the faces of the dead,
everyone catching beautiful faces

on their tongues, at last
you have an heirloom to pass
to your kids, who will ignore it

until your wake, which will
have lots of parking, & all
the music in the world.'""",https://www.poets.org/poetsorg/poem/little-song-0,2018,KJ,Dance
First Wedding Dance,"Marcelo Hernandez Castillo
","""The music stopped playing years ago
but we're still dancing.

There's your bright skirt scissoring
through the crowd-

our hips tipping the instruments over.

You open me up and walk inside
until you reach a river
where a child is washing her feet.

You aren't sure
if I am the child
or if I am the river.

You throw a stone
and the child wades in to find it.
This is memory.

Let's say the river is too deep
so you turn around and leave
the same way you entered-
spent and unwashed.

It's ok. We are young, and
our gowns are as long as the room.

I told you I always wanted a silk train.

We can both be the bride,
we can both empty our lover.

And there's nothing different about you-
about me-about any of this.
Only that we wish it still hurt, just once.

Like the belts our fathers whipped us with,
not to hurt us but just to make sure we remembered.

Like the cotton ball, dipped in alcohol,
rubbed gently on your arm
moments before the doctor asks you to breathe.'""",https://www.poets.org/poetsorg/poem/first-wedding-dance,2018,KJ,Dance
Experience,Edith Wharton,"""I 

Like Crusoe with the bootless gold we stand 
Upon the desert verge of death, and say: 
""What shall avail the woes of yesterday 
To buy to-morrow's wisdom, in the land 
Whose currency is strange unto our hand? 
In life's small market they had served to pay 
Some late-found rapture, could we but delay 
Till Time hath matched our means to our demand.""

But otherwise Fate wills it, for, behold, 
Our gathered strength of individual pain, 
When Time's long alchemy hath made it gold, 
Dies with us-hoarded all these years in vain, 
Since those that might be heir to it the mould 
Renew, and coin themselves new griefs again. 


II

O Death, we come full-handed to thy gate, 
Rich with strange burden of the mingled years, 
Gains and renunciations, mirth and tears, 
And love's oblivion, and remembering hate, 
Nor know we what compulsion laid such freight 
Upon our souls-and shall our hopes and fears 
Buy nothing of thee, Death? Behold our wares, 
And sell us the one joy for which we wait. 
Had we lived longer, life had such for sale, 
With the last coin of sorrow purchased cheap, 
But now we stand before thy shadowy pale, 
And all our longings lie within thy keep-
Death, can it be the years shall naught avail? 
""Not so"", Death answered, ""they shall purchase sleep.""'""",https://www.poets.org/poetsorg/poem/experience-0,1909,KJ,Afterlife
An Offering,Kathryn Hunt,"""Animals come down through stars
to reach the valley. A coyote with
its nose pressed in a rabbit hole.
Two Sandhill cranes as tall as rain,
and listening north. And when a cougar
screams its human scream, I'm suddenly
raked by drumfire blasts, window panes
all gleam and vast, animals angling
through ripe alfalfa fields. My grandmother
holding me to the thunder-headed sky
as if I were an offering. Saying, There,
see how meager we are made. How our
bones ring with fury and light.'""",https://www.poets.org/poetsorg/poem/offering,2019,KJ,Afterlife
Petting Zoo,Nicole Homer,"""We pay to enter the dirty
pen. We buy small bags of feed
to feed the well-fed animals. We are
guests in their home, our feet
on their sawdust floor. We pretend
not to notice the stench. Theirs
is a predictable life. Better,
I guess, than the slaughter,
is the many-handed god. Me?
I'm going to leave here, eat
a body that was once untouched,
and fed, then gutted and delivered
to my table. Afterwards, I'll wash
off what of this I can. If I dream
it will be of the smallest goat,
who despite her job, flinched
from most of the hands. Though
she let me touch her, she would not
eat from my palm. In my dream,
she'll die of old age
and not boredom.'""",https://www.poets.org/poetsorg/poem/petting-zoo,2019,KJ,Animals
"A Jelly-Fish
",Marianne Moore,"""Visible, invisible,
A fluctuating charm,
An amber-colored amethyst
Inhabits it; your arm
Approaches, and
It opens and
It closes;
You have meant
To catch it,
And it shrivels;
You abandon
Your intent-
It opens, and it
Closes and you
Reach for it-
The blue
Surrounding it
Grows cloudy, and
It floats away
From you.'""",https://www.poets.org/poetsorg/poem/jelly-fish,2015,KJ,Animals
Three Foxes by the Edge of the Field at Twilight,Jane Hirshfield,"""One ran,
her nose to the ground,
a rusty shadow
neither hunting nor playing.

One stood; sat; lay down; stood again.

One never moved,
except to turn her head a little as we walked.

Finally we drew too close,
and they vanished.
The woods took them back as if they had never been.

I wish I had thought to put my face to the grass.

But we kept walking,
speaking as strangers do when becoming friends.

There is more and more I tell no one,
strangers nor loves.
This slips into the heart
without hurry, as if it had never been.

And yet, among the trees, something has changed.

Something looks back from the trees,
and knows me for who I am.'""",https://www.poets.org/poetsorg/poem/three-foxes-edge-field-twilight,2015,KJ,Animals
Sometimes I Cry,DJ,"""I told a million lies now it's time to tell a single truth
Sometimes I cry
It's hard dealing with my pride
Not knowing whether to fight or flee
Sometimes I cry
Hard to maintain this image of a tough guy
When deep down inside I am terrified
If I ever told you I wasn't scared I lied
Struggling to make it back
To society and my family
I cry
I cry for my son who I barely see
Due to these mountains
And me and his mom's beef
I cry for my siblings who never knew their older brother
Because he stayed in the streets
I cry for my grandma who is now deceased
I cry for my life, half of which they took for me
I cry for my anger and rage
The only emotions I can show in this place
I cry for how we treat each other inside these walls
I cry for the lack of unity we have most of all
When will it end I want to know
Till then all I can do is let these tears flow'""",https://www.poets.org/poetsorg/poem/sometimes-i-cry,2019,KJ,Cities
Realtor,Randall Mann,"""Please
consider Ocean Beach
out of reach.
Try not to gulp
the green water
we porpoise
like employees.
My purpose:
your thought-partner.

There is a feeling
just shy of feeling,
like tongue on teeth.
Disbelief
hangs there,
an ill-chosen comma,
a lanyard with a pass.
I swear the train is coming.
I'm only here to help.

A client bought,
on second thought,
that House in Vermont.
Night is flirty words
with fiends,
the phlebotomists
from Quest
boning up on Thoreau.
It's too soon to throw

in the cards.
Live and let give?
Here. Let me give
you the high-five.
I searched;
my activism,
lightly starched.
I never meant
to live in euphemism.'""",https://www.poets.org/poetsorg/poem/realtor,2015,KJ,Cities
our happiness,Eileen Myles,"""was when the
lights were
out

the whole city
in darkness

& we drove north
to our friend's
yellow apt.
where she had
power & we
could work

later we stayed
in the darkened
apt. you sick
in bed & me
writing ambitiously
by candle light
in thin blue
books'""",https://www.poets.org/poetsorg/poem/our-happiness,2014,KJ,Cities
Lines to a Friend in a Less Windy Place,Curtis Bauer,"""""Today I still don't know
how to fly a kite, or let it
be flown, picked up
and assaulted by the gust
constant as sun rise
in this south that isn't
south for those who live
here. I haven't been swept
away either, by any face
or woman's bare shoulder,
not even spring budding
again after a late freeze,
even though it's more beautiful
the second time around. Like
that woman you told me about
who smiled once when you
met, and once when you both
turned to admire the distance
between you. She must have
had beautiful eyes, looked
at you without blinking,
squinting out any dust
that would be flying here.""""",https://www.poets.org/poetsorg/poem/lines-friend-less-windy-place,2018,SS,Spring
Narcissus,Patricia Hooper,"""""Near the path through the woods I've seen it:
a trail of white candles.

I could find it again, I could follow
its light deep into shadows.

Didn't I stand there once?
Didn't I choose to go back

down the cleared path, the familiar?
Narcissus, you said. Wasn't this

the flower whose sudden enchantments
led Persephone down into Hades?

You remember the way she was changed
when she came every spring, having seen

the withering branches, the chasms,
and how she had to return there""""",https://www.poets.org/poetsorg/poem/narcissus,2003,SS,Spring
Butterfly Catcher,Tina Cane,"""In the Sixties
Nabokov switched

from ink to eraser-
topped pencil

on index cards  a box
of cards for Ada  a box

of cards for dreams
whose ""curious features""

include ""erotic tenderness
and heart-rending enchantment""

in one draft
he traded ""stillness and heat""

for ""silence, a burning""
                       so picture:

Vladimir seated
at the trunk of a tree

a spring day
at Wellesley  where

he marvels at his students
and their cable-knit socks

the way each elastic
grips without binding

just below
the knee      so exquisite

an application of pressure
that when said sock

is slowly
peeled off

the skin shows
no trace at all'""",https://www.poets.org/poetsorg/poem/butterfly-catcher,1994,SS,Spring
Zero,Dorothea Tanning,"""""Now that legal tender has
              lost its tenderness,
and its very legality
          is so often in question,
it may be time to consider
the zero-
          long rows of them,
    empty, black circles in clumps
                          of three,
presided over by a numeral
                       or two.
Admired, even revered,
these zeros
          of imaginary money
capture
   the open gaze of innocents

like a vision of earthly paradise.

Now the zero has
a new name:
               The Economy.

As for that earthly
                paradise-well...""""",https://www.poets.org/poetsorg/poem/zero,2011,SS,Economy
Lost,Stephen Dobyns,"""""A cry was heard among the trees,
not a man's, something deeper.
The forest extended up one side
the mountain and down the other.
None wanted to ask what had made
the cry. A bird, one wanted to say,
although he knew it wasn't a bird.
The sun climbed to the mountaintop,
and slid back down the other side.
The black treetops against the sky
were like teeth on a saw. They waited
for it to come a second time. It's lost,
one said. Each thought of being lost
and all the years that stretched behind.
Where had wrong turns been made?
Soon the cry came again. Closer now.""""",https://www.poets.org/poetsorg/poem/lost,2010,JM,Anxiety
Germany,Charles Sorley,"""""You are blind like us. Your hurt no man designed,
And no man claimed the conquest of your land.
But gropers both through fields of thought confined
We stumble and we do not understand.
You only saw your future bigly planned,
And we, the tapering paths of our own mind,
And in each other's dearest ways we stand,
And hiss and hate. And the blind fight the blind.

When it is peace, then we may view again
With new-won eyes each other's truer form
And wonder. Grown more loving-king and warm
We'll grasp firm hands and laugh at the old pain,
When it is peace. But until peace, the storm
The darkness and the thunder and the rain.""""",https://www.poets.org/poetsorg/poem/germany,1916,JM,Despair
Dead,Winifred M. Letts,"""In misty cerements they wrapped the word
My heart had feared so long: dead... dead... I heard
But marvelled they could think the thing was true
Because death cannot be for such as you.
So while they spoke kind words to suit my need
Of foolish idle things my heart took heed,
Your racquet and worn-out tennis shoe,
Your pipe upon the mantel,-then a bird
Upon the wind-tossed larch began to sing
And I remembered how one day in Spring
You found the wren's nest in the wall and said
""Hush!... listen! I can hear them quarrelling...""
The tennis court is marked, the wrens are fled,
But you are dead, beloved, you are dead'""",https://www.poets.org/poetsorg/poem/dead,1926,JM,Underworld
From One Who Stays,Amy Lowell,"""""How empty seems the town now you are gone!
A wilderness of sad streets, where gaunt walls
Hide nothing to desire; sunshine falls
Eery, distorted, as it long had shone
On white, dead faces tombed in halls of stone.
The whir of motors, stricken through with calls
Of playing boys, floats up at intervals;
But all these noises blur to one long moan.
What quest is worth pursuing? And how strange
That other men still go accustomed ways!
I hate their interest in the things they do.
A spectre-horde repeating without change
An old routine. Alone I know the days
Are still-born, and the world stopped, lacking you.""""",https://www.poets.org/poetsorg/poem/one-who-stays,1925,JM,Loneliness
Regret,Olivia Ward Bush-Banks,"""""I said a thoughtless word one day,
A loved one heard and went away;
I cried: ñForgive me, I was blind;
I would not wound or be unkind.î
I waited long, but all in vain,
To win my loved one back again.
Too late, alas! to weep and pray,
Death came; my loved one passed away.
Then, what a bitter fate was mine;
No language could my grief define;
Tears of deep regret could not unsay
The thoughtless word I spoke that day.""""",https://www.poets.org/poetsorg/poem/regret,1944,JM,Regret
Unlawful Assembly,Kimberly Blaeser,"""""Don't hurry to safety.
Each hour your flowered room grows smaller.
Everywhere at the periphery of vision
windows shatter into triangles
of mosaic light.
There in the lonely fragments
a youtube dictator
declares victory,
blood flattens and darkens.
The scent of rebellion
smoke fire and ash
all pungent in the still images
sacrificed to history.
Somewhere the flapping door of an overturned wagon
thumps steadily
in a deserted street-
echoes absent hands.""""",https://www.poets.org/poetsorg/poem/unlawful-assembly,2015,JM,Rebellion
Brilliant Juice,Todd Colby,"""""It is the people who remember,
but when the people are gone
we won't have anyone to remember.
People go to a lot of trouble
to make things memorable.
I would like to make things enjoyable
by watching everyone,
and wondering what is going on.
Today I am as full of this day
as the air in this apartment
is full of particulate matter that sparkles off
the highway. A sliver of the moon
is still visible at midday.
Reading the news is unbearable,
but necessary. All exits are final
and all that.""""",https://www.poets.org/poetsorg/poem/brilliant-juice,2016,JM,Apocalypse
The Sleeping Husband,Monica Ferrell,"""""This massive apartment: a whole room left
Empty to air, where we used to sleep.
So many steps on the waxed wood, like off turns
On the dial of a lock whose combination one's lost-
All decaying about me like empire,
The moldings moldering while I sit frozen
As a swan on the surface of a lake changing to ice.
Fruit flies and mosquitoes, a water bug,
Carpet beetles, the mouse found behind the couch
Months after it'd shrunk to a puff of fur:
Nothing to eat here but beer and more dark.
The shower where someone's young wife died
In an explosion of epilepsy while he slept.
One wonders what he was dreaming then.
The same dreams we once made here, maybe.""""",https://www.poets.org/poetsorg/poem/sleeping-husband,2018,JM,Aging
Shards,Aline Murray Kilmer,"""""I can never remake the thing I have destroyed;
   I brushed the golden dust from the moth's bright wing,
I called down wind to shatter the cherry-blossoms,
   I did a terrible thing.

I feared that the cup might fall, so I flung it from me;
   I feared that the bird might fly, so I set it free;
I feared that the dam might break, so I loosed the river:
   May its waters cover me.""""",https://www.poets.org/poetsorg/poem/shards,1941,JM,Pastoral
Wrong Question,Lisa Olstein,"""""Then I was a safe house
for the problem that chose me.
Like pure math, my results
were useless for industry:
not a clear constellation,
a scattered cluster, a bound
gap. When I looked I found
an explorer bent. Love

never dies a natural death.
It happens in a moment.
Everything hinges on
a delicate understanding.
Even the most trusted caregiver
is only trusted for so long.""""",https://www.poets.org/poetsorg/poem/wrong-question,2017,JM,Doubt
